PowTotAct_Min,Inj1PosVolAct_Var,Inj1PrsAct_meanOfInjPhase,Inj1HopTmpAct_1stPCscore,Inj1HtgEd3Act_1stPCscore,ClpFceAct_1stPCscore,ClpPosAct_1stPCscore,OilTmp1Act_1stPCscore,mass
-321,478.492173427139,122.769839912282,-176.325599219581,-101.001339180637,-97.095151153539,-147.635115915769,-128.946414715891,33.1946
-1609,474.218873080299,115.597479166666,-170.576251209185,-118.146605492804,117.439792347108,-147.647709200186,-154.209331133334,33.0408
1177,473.299826155105,115.670268346111,-175.896079876665,-80.9060047000817,114.062130101166,-147.644187653639,-165.393908164986,33.0396
678,467.380862331632,99.9120515350883,-173.287819519399,-222.993437248539,86.6286708761087,-147.626890382591,-107.732267782314,32.9527
-622,475.495634613341,114.37380263158,-178.245466951777,-93.8923309912497,120.82392201041,-147.644504448206,-157.937877231714,33.0385
989,474.717596636091,113.805367324562,-173.338743223019,-86.9818876398643,118.391368155301,-147.628044346598,-161.66589269835,33.0395
-545,471.637326140635,100.450146929825,-172.067913090951,-220.125195058449,68.3134262067609,-147.612408975142,-113.202187325642,32.9658
-379,473.635022227971,112.431223684211,-171.628888360675,-86.2504062367837,100.096434174646,-131.608824620868,-161.66589269835,33.0105
-1554,472.734653542081,115.226631578947,-171.922836417662,-93.8790310128425,123.193613783805,-147.638423140369,-154.297665217393,33.0351
567,477.347206927091,123.534993421053,-172.365735349713,-86.3449562353088,-113.568235018015,-147.633680280624,-128.113980211183,33.1844
-247,479.702371494724,124.276158991229,-169.949624345641,-92.9436347626984,-106.608887928447,-136.986453215735,-131.841768965259,33.2291
176,469.137132593619,100.493718201755,-171.073485612832,-342.254968552975,1.85033643432713,-147.628556638214,-120.65851139822,32.9241
245,473.426618593528,112.448835526317,-171.783838846076,-99.3493431156054,102.227369508701,-131.581217298128,-157.937877231714,33.0287
-599,467.284851000024,100.926242059147,-173.638928385818,-216.845626364562,74.1251534024797,-147.628582937003,-113.200803136749,32.9714
157,472.833449482281,112.691163377194,-171.686401298126,-92.4175442103914,108.134293085075,-131.582333202147,-152.957794927785,33.0291
-765,472.522683431315,112.277264254387,-169.200132740187,-104.087336201411,107.070213406261,-131.589793012424,-157.939213081456,33.0242
872,475.755672382866,111.64420504386,-172.482075870478,-79.0387194413278,98.7151598214039,-147.652906777649,-169.120162399719,33.0402
-932,473.616132965291,111.959005482457,-173.308170588875,-86.652198583425,99.0520855551542,-131.595231919162,-157.939213081456,33.029
-764,474.199542837162,112.271028508772,-170.468686936695,-83.522227424891,102.058643563602,-131.578168614748,-154.933271276569,33.0288
916,473.872600176802,113.294665936474,-171.48235985679,-94.4844194675965,113.414198618503,-147.65014218103,-165.393908164986,33.0072
1331,468.884201164155,100.780091008773,-171.651339549869,-212.352192645149,82.5206374126957,-147.618602465089,-109.47367616544,32.9768
-1368,471.169157337128,99.2837927631582,-172.690595515279,-323.915211489163,13.6075421919963,-147.629922485102,-119.204798995321,32.9274
1109,468.389735564429,100.365831325302,-169.810281425335,-219.630729174324,84.0482662209461,-147.634079333172,-109.471757045999,32.9673
-920,469.946884192488,100.688649122808,-168.455397262754,-204.808371574046,93.7199057101795,-147.614978960493,-105.743363171654,32.9738
-662,477.415411747076,124.510785087721,-170.503775573554,-92.3729211003811,-142.837603960559,-136.988862326996,-131.842117976591,33.2233
1067,478.074734927298,122.139938596492,-175.763008803798,-107.100154727689,-101.309115878482,-147.615462947572,-128.113753498622,33.2016
-438,477.707485551285,124.250360745615,-168.906077846732,-84.1532572936702,-82.5010105612109,-136.986124022005,-131.842117976591,33.2333
-114,474.126936712413,112.488917763159,-170.327830040619,-97.7959421887159,98.831425414099,-131.604752944413,-161.667087734949,33.0273
-1127,473.979179888802,112.53091008772,-169.866066295633,-98.0422273136409,106.039665590378,-131.594901461406,-154.20961776088,33.0285
-169,470.368727620752,100.634082236843,-168.816019418843,-225.598280508258,79.911649368784,-147.629949370628,-113.002805175159,32.9672
598,474.730904264726,112.88489254386,-171.16335336293,-98.0429395038532,107.816500256825,-131.584078563656,-154.209331133334,33.0323
954,471.527452625521,113.660331140351,-172.527929048655,-93.7781149338672,103.550314610478,-131.575494378875,-161.122106405529,33.0268
-561,469.553425599727,99.8623201754388,-172.545980014864,-225.67656256615,86.3694213375753,-147.600401612042,-109.47293410496,32.9726
